,EPDL97 Energy [keV],S08 EPDL97 EA [cm^2],S09 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2],S08+S09+S10 EA [cm^2]
63,3.3988,2.061226460155697,1.8866160541009653,1.6527225274238564,5.600565041680519
64,3.43687,2.062049407471499,1.8873814593044838,1.6534069121297883,5.602837778905771
65,3.4749499999999998,2.062954649518881,1.8882194460359223,1.654148328894548,5.605322424449351
66,3.51303,2.0639373454312797,1.88912781485504,1.6549467777181353,5.608011938004455
67,3.5511,2.0650023360752585,1.8901065657618379,1.655804159669178,5.610913061506275
68,3.58918,2.065861589890287,1.8909049625689562,1.6565151593358962,5.613281711795139
69,3.62725,2.0666796963395253,1.8916681683322347,1.6571995440418283,5.615547408713589
70,3.66533,2.0675800975203433,1.8925061550636728,1.6579428618752154,5.618029114459231
71,3.70341,2.068562793432742,1.8934145238827909,1.6587470139046856,5.620724331220218
72,3.74148,2.0696253636434396,1.8943932747895889,1.659606296924356,5.623624935357384
73,3.77956,2.069702817508456,1.8945076456820684,1.6597697888263283,5.623980252016853
74,3.81764,2.069453512880434,1.8943360893433487,1.6597013503557352,5.623490952579518
75,3.85571,2.069259878217892,1.8942129206899092,1.6596747353949488,5.62314753430275
76,3.89379,2.0691194930875496,1.8941381397217494,1.6596861418067146,5.622943774616013
77,3.93186,2.0690347779226874,1.8941117464388695,1.6597374706596595,5.622883995021216
78,3.9699400000000002,2.0690057327233062,1.8941337408412693,1.6598306230224114,5.622970096586987
79,4.00802,2.0690323574894056,1.8942063223691892,1.659961796757715,5.62320047661631
80,4.04609,2.0689863692570523,1.8942151201301491,1.6600435427087012,5.623245032095903
81,4.08417,2.068872608892809,1.8941645330046293,1.6600777619439977,5.623114903841436
82,4.12224,2.068814518494046,1.8941623335643893,1.6601538046891013,5.623130656747537
83,4.16032,2.068809677627483,1.894210721249669,1.6602697698753843,5.623290168752536
84,4.1983999999999995,2.0688629271596817,1.894307496620229,1.6604256575028467,5.6235960812827575
85,4.236470000000001,2.0689718466573614,1.8944548591163086,1.660621467571488,5.624048173345158
86,4.2745500000000005,2.069136436120522,1.894650609297668,1.6608572000813093,5.6246442454995
87,4.31262,2.0693542751158813,1.8948947471643078,1.6611347561009373,5.625383778381126
88,4.3507,2.069037198355969,1.8946682048195882,1.6610301973264199,5.624735600501977
89,4.38878,2.0682820231720567,1.8940567604328695,1.6606195665028607,5.622958350107787
90,4.42685,2.067563154487371,1.8934805070899907,1.6602355506400877,5.621279212217449
91,4.464930000000001,2.066885433168476,1.8929372453507118,1.659878149738101,5.6197008282572884
92,4.503010000000001,2.066244018348806,1.892429174655273,1.6595492648655281,5.618222457869607
93,4.54108,2.065638910028364,1.891954095563434,1.659248896022369,5.616841901614167
94,4.57916,2.0650749490737117,1.891512008075195,1.6589770432086237,5.61556400035753
95,4.617229999999999,2.064547294618286,1.8911029121905558,1.658731805355665,5.614382012164507
96,4.65531,2.064058367095368,1.8907290073497567,1.6585131824634922,5.613300556908617
97,4.69339,2.0636057460716772,1.8903880941125573,1.6583230756007332,5.612316915784968
98,4.73146,2.0631918519804944,1.8900801724789582,1.658161484767388,5.61143350922684
99,4.76954,2.0626835609913226,1.8896908715564789,1.6579333565320775,5.610307789079879
100,4.80762,2.0621897926018415,1.8893147672754398,1.65771853577716,5.609223095654441
101,4.845689999999999,2.0617371715781507,1.8889738540382406,1.6575303299830286,5.60824135559942
102,4.88377,2.061323277486968,1.8886681318448812,1.6573725412869387,5.607363950618788
103,4.92184,2.060640715301509,1.8881292689860822,1.65702464572809,5.605794630015682
104,4.95992,2.0595394181583035,1.887218700726724,1.6563801834633374,5.6031383023483645
105,4.998,2.0584623253479157,1.8863323263100062,1.655756632953488,5.60055128461141
106,5.03607,2.0574118573036277,1.885470145735928,1.6551501920612874,5.598032195100843
107,5.0741499999999995,2.0563880140254387,1.8846299595642497,1.6545627618553624,5.595580735445051
108,5.112220000000001,2.0553883750800677,1.8838117677949717,1.653994342335713,5.593194485210752
109,5.1503000000000005,2.054412940467514,1.8830155704280933,1.65344493350234,5.590873444397947
