,EPDL97 Energy [keV],S1 EPDL97 EA [cm^2],S2 EPDL97 EA [cm^2],S3 EPDL97 EA [cm^2],S4 EPDL97 EA [cm^2],S5 EPDL97 EA [cm^2],S6 EPDL97 EA [cm^2],S7 EPDL97 EA [cm^2]
154,6.863729999999999,3.513837355667743,3.2710162896437174,3.0283406612779533,2.7877953521446774,2.5511097810583583,2.3809962768305852,2.157626754388969
155,6.901800000000001,3.5062186435546536,3.264815993475723,3.0233481436412757,2.7838201906383375,2.5479814523572295,2.3783091655563533,2.155561359830357
156,6.9398800000000005,3.4986200070993068,3.2586383426553107,3.018371914806023,2.7798559699434833,2.5448661312598477,2.3756340369410927,2.153506570635333
157,6.97796,3.4910364273872663,3.2524742790434478,3.0134079025718385,2.775906336997276,2.5417638177662125,2.3729708909848033,2.1514623868038956
158,7.01603,3.483467904418533,3.24632833170965,3.008464251339436,2.771971291799716,2.538671259975388,2.370319727687485,2.1494288083360455
159,7.05411,3.4759244760219765,3.2401959715844018,3.003532816708101,2.768050834350803,2.5355949616892466,2.3676805470491367,2.1474058352317824
160,7.09218,3.468396104368727,3.234086256806736,2.998621743078547,2.764144964650537,2.532531671006852,2.36505334906976,2.145393467491107
161,7.13026,3.4608878083732186,3.2279946583071357,2.9937228860500618,2.7602536826989184,2.5294813879282048,2.362438133749354,2.143394356454915
162,7.16834,3.4533945691210177,3.2219211760856012,2.988844390023358,2.7563769884959464,2.526444112453304,2.3598349010879187,2.141403199441414
163,7.20641,3.4459264244409935,3.215861281072616,2.983982182798078,2.7525185289787837,2.5234198445821505,2.357246646750198,2.1394226477915
164,7.24449,3.4384733365042766,3.209824031407213,2.979136264374223,2.7486710102731062,2.520408584314744,2.354667379406705,2.13745535284607
165,7.28257,3.4310453431397363,3.203809427089392,2.974306634751793,2.7448417262532376,2.517413583552021,2.352103090386925,2.1354960119233306
166,7.32064,3.4236324065185033,3.1978084099801203,2.9694973661311437,2.7410306769191783,2.5144315903930448,2.3495507840261167,2.133549927705075
167,7.35872,3.4148191927697655,3.190602660379478,2.963653758620025,2.736337068791968,2.5107049119195586,2.3463334400924216,2.131049713239387
168,7.39679,3.4059859033632853,3.183374265431253,2.957793862307481,2.7316325198532727,2.506971729644199,2.3431101048292406,2.1285441960919056
169,7.43487,3.3971475950423704,3.1761549286220614,2.9519380381952933,2.726931617851738,2.503241799269776,2.3398897652308026,2.1260413302853207
170,7.47295,3.38831430563589,3.1689355918128697,2.9460862862834616,2.7222343627873666,2.49951512079629,2.3366754169618504,2.1235437671605295
171,7.51102,3.3794810162294104,3.1617207840731947,2.940242678772343,2.717544401597318,2.4957949461246773,2.3334640643576403,2.1210488553766353
172,7.5491,3.3706527457373663,3.1545105054030356,2.9344031434615796,2.712861734281593,2.492081275254938,2.3302587030829165,2.1185618976154315
173,7.58717,3.3618244752453217,3.147304755802393,2.9285676803511733,2.708179066965868,2.488370856286136,2.3270563374729347,2.116077591195124
174,7.62525,3.3530012236677136,3.1401035352712676,2.922736289441122,2.7035073404616288,2.484666941119207,2.3238629588571813,2.113598587456611
175,7.66333,3.34413782077462,3.1328706112535265,2.916880465328935,2.6988137323344183,2.480950018348531,2.320654601917714,2.11110897835451
176,7.7014,3.3351840774216885,3.1255652221235226,2.9109676304117604,2.694072714024105,2.4771908208656774,2.3174102970013344,2.1085928558434412
